Date,AQI,PM2.5,RH,Temperature,WindSpeed
2003-07-22,75.3333333333333,22.3,91.854166625,24.7404950063544,1.69048359374795
2003-07-23,66.5806451612903,17.4645161290323,91.786458375,24.2885335309654,1.82299688852096
2003-07-24,63.75,16.05,81.828125125,24.3669403469945,2.60363517069619
2003-07-25,60.6666666666667,14.1333333333333,67.916666625,24.5162697719394,1.47315177716287
2003-07-26,78.2727272727273,23.7878787878788,67.046875,24.7263819870035,2.53278953715101
2003-07-27,92.0,31.1,70.61458325,25.0669623391813,4.71634841523147
2003-07-28,62.0,15.1,68.046875,24.280002935337,0.882839849434306
2003-07-29,48.2,9.256,71.666666875,24.2341844562841,2.03488735380799
2003-07-30,65.0,16.5,77.182291625,24.2829508970856,2.05336256153021
2003-07-31,60.0,14.1,78.668478375,24.0163363178506,2.63696012866236
2003-08-01,65.875,17.3375,96.5892857142857,23.7894942031799,2.91287884194508
2003-08-02,85.0,27.5,90.6190475714286,23.7389122148271,2.20983759127282
2003-08-03,59.0,13.5,89.9101731428572,23.6688779252458,2.8027483146861
2003-08-04,51.1578947368421,10.2578947368421,92.3035714285714,23.7955493201632,2.35893449342849
2003-08-05,52.5,11.6,93.7083335714286,23.7874058732813,2.48923565071626
2003-08-06,61.5,14.6,87.8869047142857,24.197128276568,2.72337211922893
2003-08-07,72.96875,20.85625,91.434524,24.3508450964571,1.86938094042319
2003-08-08,57.3333333333333,12.6,93.1190477142857,24.3836590925926,1.48643090181454
2003-08-09,57.0,12.4,93.4285715714286,24.4656909557044,2.47154839520752
2003-08-10,50.4516129032258,9.7741935483871,91.8035715714286,24.858967453393,2.514812990605
2003-08-11,43.6666666666667,8.73333333333333,88.6547618571429,24.2437293960543,2.98268677807827
2003-08-12,62.3333333333333,15.4,87.1666665714286,23.7883960628019,2.22581132440029
2003-08-13,104.068965517241,36.3275862068966,85.0833334285714,24.0378737259259,2.06787058648634
2003-08-14,80.0344827586205,24.1637931034483,74.0632832857143,24.8087840925926,2.45966376729265
2003-08-15,56.0,12.0,64.2928694285714,25.0975863009727,0.994394480034186
2003-08-16,90.0,29.8483870967742,78.5238095714286,25.0322739836492,1.87969386364729
2003-08-17,67.3333333333333,18.0,88.3273808571429,24.3625571504474,2.21785474550292
2003-08-18,54.6666666666667,11.1666666666667,82.154762,24.152935201005,2.49135040157598
2003-08-19,64.6774193548387,16.4774193548387,78.1785714285714,24.2768696507936,2.23986115880954
2003-08-20,79.6666666666667,24.6333333333333,70.422619,24.8214775494034,2.66062366568332
2003-08-21,105.5,37.4,76.8511904285714,25.0602525702587,3.1678194623229
2003-08-22,125.5,45.6566666666667,77.452381,23.8778429495798,4.26470859630162
2003-08-23,34.0,6.13333333333333,54.1726188571429,23.1692387211917,2.96051308321731
2003-08-24,24.0,4.3,51.4940477142857,23.5239322156532,2.57808146133637
2003-08-25,74.0,21.3964285714286,62.672619,24.7262631335201,4.35916866475331
2003-08-26,83.0,26.325,75.7261904285714,24.550253647869,3.49239706286848
2003-08-27,73.3333333333333,21.0333333333333,68.4523807142857,23.855218636702,3.61092926763196
2003-08-28,56.7916666666667,12.2416666666667,62.9013975714286,23.2802980285235,2.79255674096886
2003-08-29,78.75,24.075,88.809524,22.7396440796296,3.57473666924074
2003-08-30,77.3333333333333,23.1666666666667,82.1726191428571,21.8436764079658,3.28389714794753
2003-08-31,33.2758620689655,6.0,71.4404762857143,21.3005059361623,4.39264447137511
2003-09-01,51.0,9.875,96.057291625,21.7117968506006,4.06420266645271
2003-09-02,38.5,7.125,97.244791625,21.8960447796452,4.21122596380702
2003-09-03,44.32,8.536,97.890625125,22.2045158082497,4.38604958019473
2003-09-04,68.3333333333333,18.5333333333333,96.505208375,22.2233101191141,3.88059635495868
2003-09-05,42.6666666666667,7.7,74.151041625,21.8432312829803,3.24633338685775
2003-09-06,30.4705882352941,5.64705882352941,72.375,21.458680943887,3.43766671799304
2003-09-07,54.3333333333333,10.8333333333333,72.343750125,21.2039183639399,2.26132198928165
2003-09-08,58.0,13.05,81.734375,20.6818590083333,4.16054591917715
2003-09-09,36.4666666666667,6.57333333333333,76.86458325,20.0256714394361,4.51255447221736
2003-09-10,50.0,9.7,73.505208375,20.1163970731481,2.4393842915283
2003-09-11,55.3333333333333,11.5,75.588541625,21.0023755990017,4.65984395884246
2003-09-12,37.3225806451613,6.71935483870968,78.30208325,20.0309136129568,3.85409497325659
2003-09-13,36.3333333333333,6.9,95.759375,20.149137175,3.44702970819789
2003-09-14,34.0,6.1,96.080616,20.2180401231481,3.13446643435562
2003-09-15,32.5161290322581,5.89677419354839,94.4311595,20.0862903546296,2.48115906118722
2003-09-16,37.6666666666667,6.83333333333333,76.562499875,19.7276833638889,1.73113742046696
2003-09-17,52.5,9.9,73.473958125,18.9828050703704,3.02590673788495
2003-09-18,42.6666666666667,7.93333333333333,73.588541625,18.7502837613237,8.15012941875549
2003-09-19,56.5,12.175,88.557291625,18.9154671980676,7.67719796673852
2003-09-20,85.6666666666667,27.5333333333333,79.640625,19.1499034186607,0.992732815760696
2003-09-21,53.4166666666667,10.5541666666667,69.22916675,19.3828801502504,2.68719969382613
2003-09-22,59.0,13.2,83.901041625,19.8736836783528,4.09393929961473
2003-09-23,53.0,12.4,86.833807,19.5934748622743,5.24991075029412
2003-09-24,52.4545454545455,10.4151515151515,74.5243055,18.9019139205286,3.89634986805885
